,ASU,KU Leuven,Mondragon,NTUT,Paderborn,PoliTO,Sydney,Tribhuvan,Tsinghua,TUDelft,UTK,XJTU,gmean,std
0,739.706262823173,1090.180908203125,685.927219942938,619.5803308517868,665.4169921875,633.2862588556559,729.4735717773436,922.7839965820312,763.6381358897814,606.8067399099423,451.4927368164063,701.0086669921875,701.7311757919568,0.22532789043995954
1,14229.731844457068,18479.697265625,16605.2689390103,17099.49241324839,16773.0,17468.22090356272,16464.412109375,18646.63671875,19383.37704528936,17217.605446868623,16473.974609375,15849.673828125,17006.397067903337,0.08020075737285498
2,43110.08913047432,56008.3828125,49603.9849264933,52002.719377379195,49534.21875,50715.87290649296,49419.54296875,47753.328125,57572.4749308315,51328.68423852164,52262.625,51858.1796875,50805.314076192444,0.07277902294476432
3,558.7224893095398,773.7252807617188,439.917455661789,433.71030185587045,440.6627197265625,451.176773741272,493.9775390625,958.7714233398438,437.9561894240956,411.8704852167101,367.8105163574218,511.3568420410156,503.1885260278276,0.3287147103602517
4,3264.3726757323006,3224.04345703125,3278.65351624717,3068.154502264324,3301.79150390625,3361.922526607104,3763.03125,3624.631103515625,2920.0869187483363,3443.4818450283665,3216.4677734375,3330.141845703125,3309.499519133497,0.06769667932710349
5,5649.3483020779295,6609.35595703125,6087.5968933719,6503.348702297823,6201.1591796875,6402.846996936212,6813.03515625,6572.40380859375,5658.359034471106,6418.226595104784,6445.14306640625,6081.234375,6276.946522913001,0.05786578045190007
6,10483.019022020282,11263.4501953125,11302.2494047357,11255.650367213351,11630.1337890625,12174.540816712262,12340.5576171875,11393.7158203125,12305.471142892982,12020.950942258529,12253.328125,11526.84765625,11649.600646096007,0.04871327906256965
7,19444.16905118735,21602.462890625,20149.7132869322,20613.415802475567,20953.9765625,21933.786659525384,21682.181640625,23823.7421875,22763.422865136294,21813.266183261287,22475.130859375,20760.2421875,21470.465099550373,0.05601809378391041
8,57622.18815657067,64734.36328125,62179.5278228114,65583.07071849532,64125.40234375,64641.78938586712,65391.5703125,65016.5703125,68016.38225161505,65089.40485813429,71413.2734375,67107.1640625,64999.55680692866,0.050425095672129015
9,166677.99173096655,185424.09375,178780.27901975,171134.87571474427,179207.25,172005.53124726456,179834.515625,162976.09375,188366.49134135936,177079.4746865514,200127.140625,177523.921875,178009.98107910578,0.055965802099564865
